,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,1.0,1.0,1.0,1.0,1.0
M2,0.7436823104693141,0.717741935483871,0.7047619047619048,0.7103825136612022,0.7086092715231788
M3,0.927797833935018,0.8991935483870968,0.8952380952380953,0.9289617486338798,0.9337748344370861
M4,0.9927797833935018,0.9798387096774194,0.9666666666666667,0.9781420765027322,0.9403973509933775
M5,1.0,0.9959677419354839,1.0,0.994535519125683,0.9801324503311258
